"智能顶点",Smart Edge
"智能顶点合并，连接和滑动","Smart Edge Creation, Manipulation, Projection and Selection Conversion"
"智能边缘",Smart Vert
"智能边缘创建，操作，投影和选择转换","Smart Vertex Merging, Connecting and Sliding"
"智能面",Smart Face
"创建智能面和从面创建对象",Smart Face Creation and Object-from-Face Creation
"清理",Clean Up
"快速几何清理",Quick Geometry Clean-up
"边缘约束",Edge Constraint
"边缘约束旋转和缩放",Edge Constrained Rotation and Scaling
"挤出",Extrude
"PunchIt 挤出和光标旋转",PunchIt Manifold Extrusion and Cursor Spin
"聚焦",Focus
"对象聚焦和分级隔离",Object Focus and Multi-Level Isolation
"镜像",Mirror
"轻触对象镜像和取消镜像",Flick Object Mirroring and Un-Mirroring
"对齐",Align
"对象每轴位置、旋转和缩放对齐，以及对象之间对齐","Object per-axis Location, Rotation and Scale Alignment, as well as Object-Inbetween-Alignment"
"分组",Group
"使用空物体作为父物件对物件进行分组",Group Objects using Empties as Parents
"智能驱动器",Smart Drive
"使用一个对象驱动另一个对象",Use one Object to drive another
"资产浏览器工具",Assetbrowser Tools
"通过资产浏览器轻松创建和导入资产",Easy Assemly Asset Creation and Import via the Asset Browser
"文件浏览器工具",Filebrowser Tools
"文件浏览器（和资产浏览器）的其他工具/快捷方式",Additional Tools/Shortcuts for the Filebrowser (and Assetbrowser)
"切换区域",Toggle Region
"根据鼠标位置，使用单个 T 键图切换 3D 视图工具栏、侧边栏和资产浏览器","Toggle 3D View Toolbar, Sidebar and Asset Browsers using a single T keymap, depending on mouse position"
"渲染",Render
"通过着色饼菜单菜单进行高效迭代渲染和自动斜角着色器设置的工具","Tools for efficient, iterative rendering and automatic Bevel Shader Setup through the Shading Pie"
"平滑",Smooth
"在Korean倒角和 SubD 工作流程中切换平滑效果",Toggle Smoothing in Korean Bevel and SubD workflows
"剪切切换",Clipping Toggle
"视口剪切平面切换",Viewport Clipping Plane Toggle
"曲面滑动",Surface Slide
"在保持形状的同时轻松修改网格拓扑结构","Easily modify Mesh Topology, while maintaining Form"
"材质拾取器",Material Picker
"为着色器编辑器选择材质，并从其他对象或资产浏览器分配材质",Pick Materials for the Shader Editor and Assign Materials from other Objects or from the Asset Browser
"应用",Apply
"应用变换，同时保持斜面宽度和子变换不变",Apply Transformations while keeping the Bevel Width as well as the Child Transformations unchanged
"选择",Select
