"这个metarig需要升级到骨集","This metarig requires upgrading to Bone Collections"
"升级Metarig","Upgrade Metarig"
"警告:此元包含已弃用的rigify rig-types和","WARNING: This metarig contains deprecated rigify rig-types and "
"此元包含可以自动执行的旧rig类型","This metarig contains old rig-types that can be automatically "
"这个元数据使用了旧的face rig。","This metarig uses the old face rig."
"重新生成rig控制器","Re-Generate Rig"
"覆盖现有的:","Overwrite Existing:"
"目标Rig","Target Rig"
"Rig UI脚本","Rig UI Script"
"运行脚本","Run Script"
"样品","Samples"
"添加示例","Add sample"
"骨集合界面","Bone Collection UI"
"点击按钮选择一个集合:","Click a button to select a collection:"
"点击此处分配按钮:","Click to assign the button here:"
"永久隐藏的集合:","Permanently hidden collections:"
"选择集合","Make Collection Active"
"使此集合处于活动状态","Make this collection active"
"在UI行之间移动","Move Between UI Rows"
"添加/删除UI行","Add/Remove UI Rows"
"Rigify添加标准颜色集","Rigify Add Standard Color Sets"
"从当前主题中获取活动/选择颜色","Rigify Get active/select colors from current theme"
"应用用户定义的活动/选择颜色","Rigify Apply user defined active/select colors"
"Rigify添加颜色集","Rigify Add Color Set"
"Rigify从主题添加颜色集","Rigify Add Color Set from Theme"
"主题","Theme"
"移除Rigify颜色预设","Rigify Remove Color Set"
"删除所有Rigify颜色预设","Rigify Remove All Color Sets"
"颜色预设","Color Sets"
"统一选择/激活颜色","Unified select/active colors"
"从主题添加","Add From Theme"
"添加标准","Add Standard"
"Rigify类型","Rigify Type"
"Rig类型","Rig type"
"没有选项","No options"
"选项:","Options:"
"Rigify开发工具","Rigify Dev Tools"
"将Metarig编码为Python","Encode Metarig to Python"
"将样本编码为Python","Encode Sample to Python"
"将Mesh Widget编码为Python","Encode Mesh Widget to Python"
"Rigify动画工具","Rigify Animation Tools"
"IK2FK姿态","IK2FK Pose"
"FK2IK姿态","FK2IK Pose"
"IK2FK动作","IK2FK Action"
"FK2IK动作","FK2IK Action"
"清除IK动作","Clear IK Action"
"清除FK动作","Clear FK Action"
"切换到pole","Switch to pole"
"切换到旋转","Switch to rotation"
"从活动metarig骨架产生一个rig","Generates a rig from the active metarig armature"
"Rigify生成rig","Rigify Generate Rig"
"升级metarig骨rigify_types","Upgrades metarig bones rigify_types"
"Rigify升级metarig类型","Rigify Upgrade Metarig Types"
"升级活动metarig上的rigify类型","Upgrades the rigify types on the active metarig armature"
"从骨层升级到骨集合","Upgrades the metarig from bone layers to bone collections"
"Rigify升级metarig层","Rigify Upgrade Metarig Layers"
"验证从rig组件设置到骨骼集合的引用","Validates references from rig component settings to bone collections"
"验证集合引用","Validate Collection References"
"验证从rig组件设置到骨骼收集的引用。两者都要运行","Validate references from rig component settings to bone collections. Always run this both "
"在生成最终的rig之前，创建一个metarig样本来修改","Create a sample metarig to be modified before generating the final rig"
"添加Metarig样本","Add Metarig Sample"
"要生成样本的rig类型的名称","Name of the rig type to generate a sample of"
"创建将生成所选元数据的Python代码","Creates Python code that will generate the selected metarig"
"Rigify编译Metarig","Rigify Encode Metarig"
"创建Python代码，该代码将生成所选metarig作为样本","Creates Python code that will generate the selected metarig as a sample"
"Rigify编译Metarig样本","Rigify Encode Metarig Sample"
"编译Metarig","Encode Metarig"
"编译Metarig样本","Encode Metarig Sample"
"Rigify编译小部件","Rigify Encode Widget"
"在当前帧中，将IK肢体固定在FK肢体上"," Snaps IK limb on FK limb at current frame"
"IK2FK","IK2FK"
"将IK的肢体扣在FK上","Snaps IK limb on FK"
"在当前帧中将FK肢固定在IK肢上"," Snaps FK limb on IK limb at current frame"
"FK2IK","FK2IK"
"将FK的肢体扣在IK上","Snaps FK limb on IK"
"将FK动画传输到IK","Transfers FK animation to IK"
"将FK动物转移到IK","Transfer FK anim to IK"
"将FK动画转移到IK骨骼","Transfer FK animation to IK bones"
"将IK动物转移到FK","Transfer IK anim to FK"
"将IK动画转移到FK骨骼","Transfer IK animation to FK bones"
"清除动画","Clear Animation"
"清除FK或IK骨骼的动画","Clear Animation For FK or IK Bones"
"添加骨集合关联","Add Bone Collection Reference"
"在骨骼集合关联列表中添加新行","Add a new row to the bone collection reference list"
"属性名","Property Name"
