象限坐标:,Box coordinates:
象限中的岛屿:,Islands inside the box:
选择,Select
取消选择,Deselect
将象限移动到相邻的区块上:,Move the box to an adjacent tile:
组编号,Group Number
分组方案,Grouping Schemes
新方案名称:,New Scheme Name:
警告:在混合文件中没有找到分组方案。,WARNING: no grouping scheme in the blend file found.
应用到方案:,Apply To Scheme:
新的分组方案,New Grouping Scheme
添加新的分组方案,Add a new grouping scheme
删除活动的分组方案,Remove the active grouping scheme
向活动方案中添加组,Add a group to the active grouping scheme
从方案中移除活动组,Remove the active group from the scheme
在列表中向上/向下移动活动组,Move the active group up/down in the list
向活动组添加一个新的目标区块,Add a new target box to the active group
移除活动目标区块,Remove the active target box
在列表中向上/向下移动活动区块,Move the active box up/down in the list
岛分组,Island Grouping
锁定组,Lock Groups
堆栈组,Stack Groups
跟踪组,Track Groups
浏览分组方案,Browse Grouping Schemes
显示帮助,Show Help
显示给定功能的帮助,Show help for the given functionality
模式帮助,Show Mode Help
显示当前选择模式的帮助,Show help for the currently selected mode
UVPackmaster安装帮助,UVPackmaster Setup Help
显示安装UVPackmaster的帮助,Show help for UVPackmaster setup
显示弹出窗口,Show a popup
选择模式,Select Mode
选择活动模式,Select active mode
扩大,expanded
选择多面板,Select Multi Panel
拓展面板,Exapnd Panel
展开/隐藏面板,Expand/hide the panel
调整岛屿纹理,Adjust Islands To Texture
调整选定岛屿的比例，使它们适合填充到活动纹理中。注意:此操作符只能在包装成非正方形区块时使用。有关非方形包装的信息，请单击帮助图标,Adjust scale of selected islands so they are suitable for packing into the active texture. CAUTION: this operator should be used only when packing to a non-square texture. For for info regarding non-square packing click the help icon
撤销岛屿调整,Undo Islands Adjustment
方法执行的调整,"Undo adjustment performed by the "
完成区块编辑,Finish Box Editing
编辑方案目标区块,Edit Scheme Target Boxes
将块设置为平铺,Set Box To Tile
将目标区块设置为控件定义的UDIM块,"Set a target box to a UDIM tile as defined by the "
X方向,Direction X
Y方向,Direction Y
移动目标框,Move Target Box
将目标框移动到相邻的贴图上,Move a target box to an adjacent tile
编辑目标框,Edit Target Box
在框中选择岛屿,Select Islands In Box
在活动框中选择/取消选择岛屿,Select/deselect islands in the active box
显示旋转步长设置,Show Rotation Step Setting
显示分配给所选岛屿的旋转步长值,Show rotation step values assigned to the selected islands
设置旋转步长,Set Rotation Step
设置所选岛屿的旋转步长值。要设置的值由,"Set rotation step value for the selected islands. The value to be set is defined by the "
复位旋转步骤,Reset Rotation Step
重置所选岛屿的旋转步长值。之后重置特殊,"Reset rotation step value for the selected islands. After reset a special "
